Book Name,Author,Price,Rating,URL
Beatrix Potter Peter Rabbit Soft Teether Book,,$12.24,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04420571QP5QOQ0S0X6U&url=%2FBeatrix-Potter-Peter-Rabbit-Teether%2Fdp%2FB01N6UA4T4%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1617943843%26sr%3D8-26-spons%26psc%3D1&qualifier=1617943843&id=443166883181130&widgetName=sp_mtf
"Cali's Books Spanish Nursery Rhymes. Press, Listen and Sing Along! Bilingual Spanish - English Sound Book. Best Interactive and Educational Spanish Toy for Baby, Toddler Age 1-3",,$19.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A063397417LES22HKVE5M&url=%2FCalis-Books-Interactive-Bilingual-Toddlers%2Fdp%2FB08CB6PQ71%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1617943843%26sr%3D8-27-spons%26psc%3D1&qualifier=1617943843&id=443166883181130&widgetName=sp_mtf
"Super Bath Book Set of 12 (Fruits, Ocean Friends, ABC, Numbers Books; Color Recognition Bath Books Including Yellow, Green, Red and Blue Color Topics, ABC Animal Bath Books.",,$29.99,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00914902FZDMNPJBDJK1&url=%2FSuper-Bath-Book-Set-Recognition%2Fdp%2FB086WMTG7T%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1617943843%26sr%3D8-28-spons%26psc%3D1&qualifier=1617943843&id=443166883181130&widgetName=sp_mtf
"Oh, the Places You'll Go!",,$8.98,4.9 out of 5 stars,https://www.amazon.com/Oh-Places-Youll-Dr-Seuss/dp/0679805273/ref=sr_1_29?dchild=1&keywords=books&qid=1617943843&sr=8-29
They Both Die at the End,Adam Silvera,$8.37,4.7 out of 5 stars,https://www.amazon.com/They-Both-Die-at-End/dp/0062457802/ref=sr_1_30?dchild=1&keywords=books&qid=1617943843&sr=8-30
If Animals Kissed Good Night,Ann Whitford Paul,$4.44,4.8 out of 5 stars,https://www.amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216/ref=sr_1_31?dchild=1&keywords=books&qid=1617943843&sr=8-31
Simplified Greenery Password Book with Alphabetical Tabs - Pocket Sized Internet Password Keeper and Organizer w/Quick Search Design – Log and Sign in Book Journal Incl. Address and Notebook Section,,$9.97,4.7 out of 5 stars,https://www.amazon.com/Simplified-Greenery-Password-Book-Alphabetical/dp/B08N837264/ref=sr_1_32?dchild=1&keywords=books&qid=1617943843&sr=8-32
The Bookshop,,$3.99,4.1 out of 5 stars,https://www.amazon.com/Bookshop-Emily-Mortimer/dp/B07M7LMF5S/ref=sr_1_34?dchild=1&keywords=books&qid=1617943843&sr=8-34
Beyond Order: 12 More Rules for Life,,$0.00,4.9 out of 5 stars,https://www.amazon.com/Beyond-Order-More-Rules-Life/dp/B08P3R4CKJ/ref=sr_1_35?dchild=1&keywords=books&qid=1617943843&sr=8-35
Greenlights,,$0.00,4.7 out of 5 stars,https://www.amazon.com/Greenlights/dp/B08HLW2JXD/ref=sr_1_36?dchild=1&keywords=books&qid=1617943843&sr=8-36
